timestamp,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd,buy_volume_ratio,returns,log_returns,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,bb_width,atr,ema_9,ema_21,ema_50,sma_200,stoch_k,hour,dayofweek
2026-05-04 18:40:00,80250.58,80276.97,80159.09,80179.0,22.51488,0.0,9.96821999999998,-9.96821999999998,-9.96821999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0
2026-05-04 18:45:00,80178.99,80178.99,80118.81,80159.79,27.56794,0.0,14.170999999999928,-14.170999999999928,-24.13921999999991,0.0,-0.00023958891979203312,-0.00023961762580246293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0
2026-05-04 18:50:00,80159.8,80178.85,80035.32,80045.99,55.49104,0.0,11.194619999999986,-11.194619999999986,-35.333839999999896,0.0,-0.0014196643978232615,-0.0014206730760939314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0
2026-05-04 18:55:00,80045.99,80161.16,80045.99,80114.91,26.68284,0.0,11.233059999999961,-11.233059999999961,-46.566899999999855,0.0,0.0008610050297335192,0.0008606345775284638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0
2026-05-04 19:00:00,80114.91,80128.71,80025.03,80025.03,28.75744,0.0,12.787129999999978,-12.787129999999978,-59.35402999999983,0.0,-0.001121888547337857,-0.0011225183353729005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:05:00,80025.03,80138.0,79950.0,80064.24,92.96656,0.0,23.609689999999965,-23.609689999999965,-82.9637199999998,0.0,0.0004899717001043413,0.0004898517031660256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:10:00,80064.23,80085.19,80017.13,80085.18,32.4604,0.0,14.778879999999942,-14.778879999999942,-97.74259999999974,0.0,0.0002615399833931775,0.00026150578777393873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:15:00,80085.19,80092.0,79960.0,79980.03,40.34416,0.0,13.578349999999933,-13.578349999999933,-111.32094999999967,0.0,-0.00131297700773092,-0.0013138397172702098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:20:00,79980.04,79995.96,79940.0,79963.31,43.2367,0.0,24.003839999999936,-24.003839999999936,-135.3247899999996,0.0,-0.00020905218465161468,-0.00020907403910543575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80068.60888888889,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:25:00,79963.31,79987.52,79900.0,79930.0,58.47685,0.0,22.024819999999938,-22.024819999999938,-157.34960999999956,0.0,-0.0004165660476035393,-0.00041665283534226774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80040.88711111111,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:30:00,79930.0,79983.26,79930.0,79955.0,16.35594,0.0,7.412019999999992,-7.412019999999992,-164.76162999999954,0.0,0.00031277367696724845,0.0003127247734776304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80023.70968888889,0.0,0.0,0.0,0.0,19,0
2026-05-04 19:35:00,79955.01,80006.46,79900.0,79917.87,31.6557,0.0,9.73254000000001,-9.73254000000001,-174.49416999999954,0.0,-0.00046438621724731455,-0.0004644940779206652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80002.54175111112,0.0,0.0,0.0,0.0,19,0
